site,habitat,trapnights,individuals,specdens_small,rrapnights_camera,num_images,specdens_ml,totspecdens,canopy,basalarea,midstrata,lowstrata,groundcov,treecount,elevation,treerichness,treeheight,coffeeheight,
1,BF,500,3,1,10,8,2,3,90.9,37.9,35.7,30.3,62.2,84,723,10,20.4,2.5,
2,BF,500,14,4,10,10,5,9,81.4,20.7,70.3,86.5,2.6,59,711,12,15.1,2.7,
3,BF,480,6,3,10,9,3,6,92.7,34.0,58.6,21.4,53.4,80,713,13,11.7,2.8,
4,BF,480,13,4,10,24,3,7,77.3,22.9,54.5,67.7,3.2,41,660,9,18.4,2.7,
5,BF,480,16,3,10,3,1,4,91.7,22.9,64.5,54.3,65.9,48,641,5,12.9,2.7,
6,BF,500,21,5,10,3,2,7,82.3,22.9,35.8,70.6,7.1,35,755,9,19.4,2.4,
7,Forest,500,6,2,10,5,2,4,89.0,12.0,76.8,53.8,28.4,171,487,NA,NA,NA,
8,Forest,500,16,3,10,5,2,5,96.6,18.4,18.3,65.1,9.4,112,496,NA,NA,NA,
9,Forest,340,2,2,10,12,1,3,89.6,38.6,66.7,51.7,24.3,35,650,NA,NA,NA,
10,Forest,480,4,1,10,5,3,4,96.0,26.8,44.6,39.2,17.8,203,667,NA,NA,NA,
11,Forest,500,1,1,10,4,2,3,95.1,31.6,45.7,27.1,8.2,179,582,NA,NA,NA,
12,Sun,500,5,3,10,6,4,7,8.4,1.1,55.8,1.2,10.8,26,857,5,2.8,1.5,
13,Sun,500,2,2,10,3,1,3,13.9,2.3,51,3.8,15.6,24,869,4,2.6,1.5,
14,Sun,500,8,3,10,0,0,3,13.5,4.6,45.8,29.1,19.8,17,696,5,5.4,2.4,
15,Sun,500,0,0,10,14,3,3,3.5,10.3,45,27.1,34.6,21,677,7,7.4,2,
16,Sun,500,2,1,10,3,1,2,7.7,10.3,44.3,4.8,20.6,33,654,7,8.4,2.5,
17,Sun,480,18,2,10,0,0,2,12.2,8.6,66.3,2.5,58.9,30,1006,7,8.9,2.35,
18,Shade,500,11,2,10,2,2,4,69.2,16.1,39.6,10.8,19,62,788,14,7,1.9,
19,Shade,500,4,1,10,3,2,3,53.6,20.7,44.3,16,79.9,33,885,5,22.3,2.52,
20,Shade,480,5,1,10,45,5,6,51.5,52.8,47,1.5,10.4,31,719,5,27.9,1.72,
21,Shade,500,3,2,10,5,1,3,31.0,9.2,50.3,2.8,68.8,47,1070,6,10.6,1.83,
22,Shade,500,1,1,10,0,0,1,48.5,10.3,41,15.6,44.6,29,950,7,10,2,
23,Shade,500,3,2,10,3,3,5,45.8,20.7,58.6,5.4,71.4,43,900,6,14.2,2.56,